,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,num_tot
54,2021-02-12,2912,3762,6629,7806,5588,1385,594,347,29023
55,2021-02-13,3412,5564,7320,10206,8060,1970,978,520,38030
56,2021-02-14,5724,11730,13170,15033,8912,3064,1599,878,60110
57,2021-02-15,5973,15051,15151,15618,8748,3128,1713,1018,66400
58,2021-02-16,5300,12455,13753,15715,7671,2925,1614,999,60432
59,2021-02-17,4365,10757,12404,13380,6701,2776,1597,1058,53038
60,2021-02-18,4147,13094,14638,10331,4947,2076,1050,698,50981
61,2021-02-19,3204,6176,7976,7099,3374,1174,575,342,29920
62,2021-02-20,3878,6870,7118,7323,3428,1389,734,457,31197
63,2021-02-21,5959,13455,13380,10361,5409,2462,1348,834,53208
64,2021-02-22,5797,15742,14662,10064,5185,2382,1328,804,55964
65,2021-02-23,6398,16574,14610,10628,5537,2522,1331,855,58455
66,2021-02-24,5977,17524,16893,10149,5444,2492,1290,734,60503
67,2021-02-25,4743,16910,16064,8964,4925,2268,1047,587,55508
68,2021-02-26,2916,8752,9342,5839,2947,1190,515,284,31785
69,2021-02-27,3529,8781,9891,6900,3550,1449,680,372,35152
70,2021-02-28,5654,18241,17583,10546,6047,2964,1514,865,63414
71,2021-03-01,5669,18607,17386,10639,6223,3086,1553,936,64099
72,2021-03-02,5668,19326,16730,10007,6001,3027,1563,907,63229
73,2021-03-03,4738,18028,15270,8224,4697,2147,989,536,54629
74,2021-03-04,4505,15877,13776,7910,4607,2162,857,416,50110
75,2021-03-05,2691,9471,8330,4583,2582,1111,397,196,29361
76,2021-03-06,3163,10498,8856,5030,2963,1306,589,329,32734
77,2021-03-07,5500,19247,16845,9280,5595,2978,1497,798,61740
78,2021-03-08,5819,21030,18362,9945,6119,3322,1693,940,67230
79,2021-03-09,5818,20906,17129,9378,5752,3078,1554,836,64451
80,2021-03-10,5168,18391,14880,8437,5105,2661,1369,740,56751
81,2021-03-11,3876,13078,10814,6595,4082,2116,936,565,42062
82,2021-03-12,2192,7443,6249,3833,2379,1048,449,264,23857
83,2021-03-13,3085,9955,7996,4952,3011,1478,689,345,31511
84,2021-03-14,4691,14343,12058,7383,4625,2540,1272,722,47634
85,2021-03-15,5057,15724,12877,7827,4964,2806,1423,774,51452
86,2021-03-16,4124,13266,10339,6629,4247,2476,1218,597,42896
87,2021-03-17,4525,13266,10363,6759,4397,2573,1288,634,43805
88,2021-03-18,3577,10276,8270,5476,3604,2019,918,464,34604
89,2021-03-19,2028,5908,4535,3188,2031,985,441,215,19331
90,2021-03-20,2933,8369,6741,4298,2697,1421,675,320,27454
91,2021-03-21,4276,12214,10007,6186,3998,2415,1284,733,41113
92,2021-03-22,3964,11637,8874,5488,3578,2111,1125,630,37407
93,2021-03-23,3534,9898,7510,4878,3148,1927,1012,593,32500
94,2021-03-24,3334,8528,6377,4254,2794,1649,869,517,28322
95,2021-03-25,2471,6464,4988,3326,2155,1234,587,365,21590
96,2021-03-26,1457,3788,2747,1900,1176,599,282,139,12088
97,2021-03-27,1831,4651,3489,2370,1467,809,408,223,15248
98,2021-03-28,2965,7482,5624,3658,2403,1510,782,458,24882
99,2021-03-29,2548,6790,4978,3287,2240,1454,743,416,22456
100,2021-03-30,2651,6715,4742,3234,2197,1424,782,446,22191
101,2021-03-31,2485,6189,4549,3109,2123,1301,648,356,20760
102,2021-04-01,1665,4264,3195,2198,1456,876,429,264,14347
103,2021-04-02,874,2173,1642,1118,730,382,166,83,7168
104,2021-04-03,1381,3541,2392,1705,1137,697,363,217,11433
105,2021-04-04,1870,4765,3342,2140,1471,932,502,298,15320
106,2021-04-05,1824,4610,3256,2118,1410,906,487,301,14912
107,2021-04-06,1174,2657,1791,1206,794,488,265,161,8536
