,date,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
89,2021-03-19,217445,659222,653197,664153,573409,539083,401150,221693
90,2021-03-20,220378,667591,659938,668451,576106,540504,401825,222013
91,2021-03-21,224654,679805,669945,674637,580104,542919,403109,222746
92,2021-03-22,228618,691442,678819,680125,583682,545030,404234,223376
93,2021-03-23,232152,701340,686329,685003,586830,546957,405246,223969
94,2021-03-24,235486,709868,692706,689257,589624,548606,406115,224486
95,2021-03-25,237957,716332,697694,692583,591779,549840,406702,224851
96,2021-03-26,239414,720120,700441,694483,592955,550439,406984,224990
97,2021-03-27,241245,724771,703930,696853,594422,551248,407392,225213
98,2021-03-28,244210,732253,709554,700511,596825,552758,408174,225671
99,2021-03-29,246758,739043,714532,703798,599065,554212,408917,226087
100,2021-03-30,249409,745758,719274,707032,601262,555636,409699,226533
101,2021-03-31,251894,751947,723823,710141,603385,556937,410347,226889
102,2021-04-01,253559,756211,727018,712339,604841,557813,410776,227153
103,2021-04-02,254433,758384,728660,713457,605571,558195,410942,227236
104,2021-04-03,255814,761925,731052,715162,606708,558892,411305,227453
105,2021-04-04,257684,766690,734394,717302,608179,559824,411807,227751
106,2021-04-05,259508,771300,737650,719420,609589,560730,412294,228052
107,2021-04-06,260682,773957,739441,720626,610383,561218,412559,228213
